FECHA_HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CASOS,VICTIMAS
2024/01/12,76,VALLE DEL CAUCA,76823,TORO,1,3
2024/01/15,76,VALLE DEL CAUCA,76130,CANDELARIA,1,3
2024/01/20,20,CESAR,20238,EL COPEY,1,3
2024/01/21,13,BOLIVAR,13473,MORALES,1,3
2024/01/21,41,HUILA,41551,PITALITO,1,3
2024/02/07,47,MAGDALENA,47288,FUNDACION,1,4
2024/02/10,85,CASANARE,85125,HATO COROZAL,1,3
2024/02/13,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,1,3
2024/02/21,66,RISARALDA,66687,SANTUARIO,1,4
2024/02/26,86,PUTUMAYO,86573,PUERTO LEGUIZAMO,1,3
2024/03/03,27,CHOCO,27001,QUIBDO,1,4
2024/03/03,47,MAGDALENA,47570,PUEBLOVIEJO,1,3
2024/03/08,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,1,4
2024/03/12,27,CHOCO,27413,LLORO,1,3
2024/03/30,11,BOGOTA D.C.,11001,BOGOTA D.C.,1,4
2024/04/07,76,VALLE DEL CAUCA,76823,TORO,1,5
2024/04/13,54,NORTE DE SANTANDER,54001,CUCUTA,1,3
2024/04/19,8,ATLANTICO,8001,BARRANQUILLA,1,3
2024/04/20,5,ANTIOQUIA,5847,URRAO,1,3
2024/04/22,11,BOGOTA D.C.,11001,BOGOTA D.C.,1,4
2024/04/26,19,CAUCA,19212,CORINTO,1,4
2024/05/10,8,ATLANTICO,8001,BARRANQUILLA,1,3
2024/05/14,47,MAGDALENA,47703,SAN ZENON,1,3
2024/05/17,19,CAUCA,19455,MIRANDA,1,3
2024/05/17,54,NORTE DE SANTANDER,54001,CUCUTA,1,3
2024/05/19,19,CAUCA,19212,CORINTO,1,3
2024/05/20,19,CAUCA,19473,MORALES,1,4
2024/05/23,8,ATLANTICO,8001,BARRANQUILLA,1,3
2024/05/24,11,BOGOTA D.C.,11001,BOGOTA D.C.,1,3
2024/05/25,5,ANTIOQUIA,5031,AMALFI,1,3
2024/06/02,86,PUTUMAYO,86001,MOCOA,1,3
2024/06/02,76,VALLE DEL CAUCA,76147,CARTAGO,1,3
2024/06/05,18,CAQUETA,18094,BELEN DE LOS ANDAQUIES,1,3
2024/06/05,27,CHOCO,27001,QUIBDO,1,3
2024/06/14,19,CAUCA,19455,MIRANDA,1,3
2024/06/14,76,VALLE DEL CAUCA,76275,FLORIDA,1,3
2024/06/21,52,NARIÑO,52786,TAMINANGO,1,4
2024/06/25,5,ANTIOQUIA,5615,RIONEGRO,1,7
2024/06/27,54,NORTE DE SANTANDER,54874,VILLA DEL ROSARIO,1,4
2024/07/04,5,ANTIOQUIA,5854,VALDIVIA,1,6
2024/07/15,5,ANTIOQUIA,5031,AMALFI,1,3
2024/07/19,5,ANTIOQUIA,5809,TITIRIBI,1,3
2024/07/21,5,ANTIOQUIA,5197,COCORNA,1,4
2024/07/21,41,HUILA,41349,HOBO,1,6
2024/08/12,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1,3
2024/08/13,20,CESAR,20001,VALLEDUPAR,1,4
2024/08/18,5,ANTIOQUIA,5380,LA ESTRELLA,1,3
2024/08/25,18,CAQUETA,18592,PUERTO RICO,1,5
2024/09/02,27,CHOCO,27001,QUIBDO,1,3
2024/09/04,8,ATLANTICO,8758,SOLEDAD,1,3
2024/09/09,19,CAUCA,19418,LOPEZ DE MICAY,1,4
2024/09/11,23,CORDOBA,23168,CHIMA,1,3
2024/09/11,47,MAGDALENA,47268,EL RETEN,1,3
2024/09/14,54,NORTE DE SANTANDER,54001,CUCUTA,1,3
2024/09/17,81,ARAUCA,81065,ARAUQUITA,1,3
2024/09/29,5,ANTIOQUIA,5893,YONDO,1,5
2024/10/01,66,RISARALDA,66682,SANTA ROSA DE CABAL,1,3
2024/10/05,54,NORTE DE SANTANDER,54003,ABREGO,1,3
